diff,value,latitude,longitude
311238,223,37.63427,140.9347433
311243,223,37.63427,140.9347433
311248,224,37.63427,140.9347433
311253,228,37.63427,140.9347433
311257,221,37.63427,140.9347433
311262,211,37.63427,140.9347433
311267,215,37.63427,140.9347433
311272,207,37.63427,140.9347433
311277,209,37.63427,140.9347433
311282,204,37.63427,140.9347433
311287,195,37.63427,140.9347433
311292,186,37.63427,140.9358917
311297,183,37.63427,140.9358917
311301,195,37.63427,140.9358917
311306,195,37.63518,140.9358917
311311,203,37.63518,140.9358917
311316,208,37.63518,140.9358917
311321,211,37.63518,140.9358917
311326,229,37.63518,140.9358917
311331,236,37.63427,140.9358917
311336,235,37.63427,140.9358917
311341,233,37.63427,140.9358917
311346,240,37.63427,140.9358917
311350,246,37.63427,140.9358917
311355,249,37.63427,140.9358917
311360,235,37.63427,140.9358917
311365,228,37.63427,140.9358917
311370,221,37.63427,140.9358917
311375,220,37.63427,140.9358917
311380,230,37.63427,140.9358917
311385,214,37.63427,140.9358917
311390,205,37.63427,140.9358917
311394,204,37.63427,140.9358917
311399,205,37.63427,140.9358917
311404,214,37.63427,140.9358917
311409,212,37.63427,140.9358917
311414,206,37.63427,140.9358917
311419,205,37.63427,140.9358917
311424,200,37.63427,140.9358917
311429,201,37.63427,140.9358917
311434,205,37.63427,140.9358917
311438,190,37.63427,140.9358917
311443,191,37.63427,140.9358917
311448,187,37.63427,140.9358917
311453,183,37.63427,140.93704
311458,181,37.63427,140.93704
311463,161,37.63427,140.93704
311468,158,37.63427,140.93704
311473,162,37.63427,140.93704
311478,155,37.63427,140.93704
311482,153,37.63427,140.93704
311487,144,37.63427,140.93704
311492,144,37.63427,140.93704
311497,157,37.63427,140.93704
311502,160,37.63427,140.93704
311507,170,37.63427,140.93704
311512,183,37.63427,140.93704
311517,189,37.63427,140.93704
311522,201,37.63427,140.93704
311527,215,37.63427,140.93704
311532,219,37.63427,140.93704
311537,231,37.63427,140.93704
311541,238,37.63427,140.93704
311546,253,37.63518,140.93704
311551,255,37.63518,140.93704
311556,248,37.63518,140.93704
311561,243,37.63518,140.93704
311566,239,37.63518,140.93704
311571,232,37.63518,140.93704
311576,235,37.63518,140.9381883
311581,233,37.63427,140.9381883
311585,224,37.63427,140.9381883
311590,218,37.63427,140.9381883
311595,213,37.63427,140.9381883
311600,210,37.63427,140.9381883
311605,209,37.63427,140.9381883
311610,207,37.63427,140.9381883
311615,204,37.63427,140.9381883
311620,199,37.63427,140.9381883
311625,203,37.63518,140.9381883
311629,199,37.63518,140.9381883
311634,192,37.63518,140.9381883
311639,190,37.63518,140.9381883
311644,199,37.63518,140.9381883
311649,204,37.63518,140.9381883
311654,208,37.63518,140.9381883
311659,209,37.63518,140.9381883
311664,203,37.63518,140.9381883
311669,199,37.63427,140.9381883
311673,199,37.63427,140.9381883
311678,202,37.63427,140.93704
311683,191,37.63427,140.9358917
311688,193,37.63427,140.9358917
311693,185,37.63427,140.9347433
311698,174,37.63427,140.9347433
311703,157,37.63427,140.9347433
311708,146,37.63427,140.9347433
311713,140,37.63427,140.9347433
311717,136,37.63427,140.9347433
311722,129,37.63427,140.9347433
311727,118,37.63427,140.9347433
311732,117,37.63427,140.9347433
311737,114,37.63427,140.9347433
311742,115,37.63427,140.9347433
311747,108,37.63427,140.9347433
311752,116,37.63518,140.9347433
311757,124,37.63518,140.9347433
311761,131,37.63518,140.9347433
311766,132,37.63518,140.9347433
311771,140,37.63518,140.9347433
311776,149,37.63518,140.9347433
311781,166,37.63518,140.9347433
311786,180,37.63518,140.9347433
311791,184,37.63518,140.9347433
311796,190,37.63518,140.9347433
311801,196,37.63518,140.9347433
311805,202,37.63518,140.9347433
311810,209,37.63518,140.9347433
311815,219,37.63518,140.9347433
311820,225,37.63518,140.9347433
311825,239,37.63518,140.9347433
311830,235,37.63518,140.9347433
311835,233,37.63518,140.9347433
311840,224,37.63518,140.9347433
311845,225,37.63518,140.933595
311850,228,37.63518,140.933595
311854,226,37.63518,140.933595
311859,227,37.63518,140.933595
311864,231,37.63518,140.933595
311869,223,37.63518,140.933595
311874,215,37.63518,140.9347433
311879,205,37.63518,140.9347433
311884,201,37.63609,140.9347433
311889,201,37.63609,140.9347433
311894,195,37.63609,140.9347433
311898,188,37.63609,140.9347433
311903,180,37.63609,140.9347433
311908,172,37.63609,140.9347433
311913,173,37.63609,140.9347433
311918,171,37.63609,140.9347433
311923,172,37.63609,140.9347433
311928,174,37.63609,140.9347433
311933,188,37.63609,140.9347433
311938,190,37.63609,140.9347433
311943,202,37.63609,140.9347433
311947,212,37.63609,140.9347433
311952,216,37.63609,140.9347433
311957,222,37.63609,140.9347433
311962,228,37.63609,140.9347433
311967,234,37.63609,140.9347433
311972,231,37.63609,140.9347433
311977,228,37.63609,140.9347433
311982,229,37.63609,140.9347433
311987,227,37.63609,140.9347433
311991,217,37.63609,140.9347433
311996,226,37.63609,140.9347433
312001,210,37.63609,140.9347433
312006,200,37.637,140.9347433
312011,196,37.637,140.9347433
312016,201,37.637,140.9347433
312021,204,37.637,140.933595
312026,206,37.637,140.933595
312031,216,37.637,140.933595
312035,236,37.637,140.933595
312040,233,37.63609,140.933595
312045,235,37.63609,140.933595
312050,230,37.637,140.933595
312055,223,37.637,140.933595
312060,226,37.637,140.933595
312065,233,37.637,140.933595
312070,229,37.637,140.933595
312075,230,37.63609,140.933595
312079,234,37.63609,140.933595
312084,244,37.63609,140.933595
312089,237,37.63609,140.933595
312094,223,37.63609,140.933595
312099,215,37.63609,140.9324467
312104,213,37.63609,140.933595
312109,217,37.63609,140.933595
312114,216,37.63609,140.933595
312119,206,37.63609,140.933595
312124,196,37.63609,140.933595
312129,196,37.63609,140.933595
312133,194,37.63609,140.933595
312138,186,37.63609,140.933595
312143,171,37.63609,140.933595
312148,169,37.63609,140.933595
312153,182,37.63609,140.933595
312158,200,37.63609,140.933595
312163,207,37.63609,140.933595
312168,210,37.63609,140.933595
312173,205,37.63609,140.933595
312177,221,37.63609,140.933595
312182,233,37.63609,140.933595
312187,252,37.63609,140.933595
312192,259,37.63609,140.933595
312197,259,37.63609,140.9347433
312202,264,37.63609,140.9347433
312207,267,37.63609,140.9347433
312212,258,37.63609,140.9347433
312217,264,37.63609,140.9347433
312221,265,37.63609,140.9358917
312226,263,37.63609,140.9358917
312231,272,37.63609,140.9358917
312236,267,37.63609,140.9358917
312241,256,37.63609,140.9358917
312246,250,37.63609,140.9347433
312251,236,37.63609,140.9347433
312256,244,37.63518,140.9347433
312261,247,37.63518,140.9358917
312265,245,37.63518,140.9358917
312270,244,37.63518,140.9358917
312275,235,37.63518,140.9358917
312280,242,37.63518,140.9358917
312285,241,37.63518,140.9358917
312290,239,37.63518,140.9358917
312295,248,37.63518,140.9358917
312300,258,37.63518,140.9358917
312305,262,37.63518,140.9358917
312309,266,37.63518,140.9358917
312314,264,37.63518,140.9358917
312319,261,37.63518,140.9358917
312324,272,37.63518,140.9358917
312329,280,37.63518,140.9358917
312334,278,37.63518,140.9358917
312339,283,37.63518,140.9358917
312344,294,37.63518,140.9358917
312349,302,37.63518,140.9358917
312353,289,37.63518,140.9358917
312358,294,37.63518,140.9358917
312363,284,37.63518,140.9358917
312368,284,37.63518,140.9358917
312373,282,37.63518,140.9358917
312378,283,37.63518,140.9358917
312383,278,37.63518,140.9358917
312388,263,37.63518,140.9358917
312393,268,37.63518,140.9358917
312397,254,37.63518,140.9358917
312402,252,37.63518,140.9358917
312407,239,37.63518,140.9358917
312412,245,37.63518,140.9358917
312417,232,37.63518,140.9347433
312422,232,37.63518,140.9347433
312427,223,37.63518,140.9347433
312432,223,37.63427,140.9347433
312437,210,37.63427,140.9347433
312441,194,37.63427,140.9347433
312446,188,37.63427,140.9347433
312451,169,37.63427,140.9347433
312456,159,37.63427,140.9347433
312461,138,37.63427,140.933595
312466,132,37.63518,140.9324467
312471,118,37.63518,140.9324467
312476,116,37.63518,140.9312983
312481,121,37.63427,140.93015
312485,131,37.63427,140.9290017
312490,124,37.63336,140.9278533
312495,134,37.63336,140.9278533
312500,153,37.63336,140.9278533
312505,169,37.63245,140.9278533
312510,181,37.63245,140.9278533
312515,201,37.63245,140.9278533
312520,221,37.63245,140.9278533
312525,237,37.63245,140.9278533
312529,248,37.63245,140.9278533
312534,263,37.63245,140.9278533
312539,265,37.63245,140.9278533
312544,269,37.63245,140.9278533
312549,289,37.63245,140.9278533
312554,289,37.63245,140.9278533
312559,285,37.63245,140.9278533
312564,287,37.63245,140.9278533
312569,294,37.63245,140.9278533
312573,274,37.63245,140.9278533
312578,277,37.63245,140.9278533
312583,276,37.63245,140.9278533
312588,278,37.63245,140.9278533
312593,271,37.63245,140.9278533
312598,267,37.63245,140.9278533
312603,267,37.63245,140.9278533
312608,262,37.63245,140.9278533
312613,268,37.63245,140.9278533
312617,270,37.63245,140.9278533
312622,268,37.63245,140.9278533
312627,261,37.63245,140.9278533
312632,273,37.63245,140.9278533
312637,264,37.63245,140.9278533
312642,268,37.63245,140.9278533
312647,275,37.63245,140.9278533
312652,270,37.63245,140.9278533
312657,273,37.63245,140.9278533
312661,281,37.63245,140.9278533
312666,277,37.63336,140.9278533
312671,283,37.63336,140.9278533
312676,296,37.63336,140.9278533
312681,295,37.63336,140.9278533
312686,298,37.63336,140.9278533
312691,302,37.63336,140.9278533
312696,302,37.63336,140.9278533
312701,300,37.63336,140.9278533
312705,286,37.63336,140.9278533
312710,308,37.63427,140.926705
312715,321,37.63427,140.926705
312720,311,37.63427,140.926705
312725,310,37.63427,140.926705
312730,304,37.63427,140.926705
312735,313,37.63427,140.926705
312740,323,37.63336,140.9278533
312745,315,37.63336,140.926705
312749,313,37.63336,140.926705
312754,338,37.63336,140.926705
312759,350,37.63336,140.926705
312764,359,37.63336,140.926705
312769,333,37.63336,140.926705
312774,318,37.63336,140.926705
312779,333,37.63336,140.926705
312784,337,37.63336,140.926705
312789,349,37.63336,140.926705
312793,323,37.63336,140.926705
312798,314,37.63336,140.926705
312803,325,37.63336,140.926705
312808,326,37.63336,140.926705
312813,295,37.63336,140.926705
312818,272,37.63336,140.926705
312823,277,37.63336,140.926705
312828,289,37.63336,140.926705
312833,295,37.63427,140.926705
312837,287,37.63427,140.926705
312842,287,37.63427,140.926705
312847,269,37.63427,140.926705
312852,274,37.63427,140.926705
312857,275,37.63427,140.926705
312862,272,37.63427,140.926705
312867,277,37.63427,140.926705
312872,280,37.63336,140.926705
312877,291,37.63336,140.926705
312881,278,37.63336,140.926705
312886,274,37.63336,140.9255567
312891,270,37.63336,140.9255567
312896,273,37.63336,140.9255567
312901,262,37.63336,140.9255567
312906,271,37.63336,140.9255567
312911,269,37.63336,140.9255567
312916,266,37.63336,140.9255567
312921,267,37.63336,140.9255567
312925,258,37.63336,140.9255567
312930,266,37.63336,140.9255567
312935,267,37.63336,140.9255567
312940,279,37.63336,140.9255567
312945,271,37.63336,140.9255567
312950,261,37.63336,140.9255567
312955,252,37.63336,140.926705
312960,249,37.63336,140.9278533
312965,234,37.63427,140.9290017
312969,231,37.63427,140.9290017
312974,226,37.63518,140.9290017
312979,225,37.63518,140.9290017
312984,222,37.63518,140.9278533
312989,221,37.63518,140.9278533
312994,220,37.63518,140.9278533
312999,215,37.63518,140.9278533
313004,215,37.63518,140.9290017
313009,217,37.63609,140.9290017
313013,212,37.63609,140.9290017
313018,215,37.63609,140.9290017
313023,219,37.63609,140.9290017
313028,220,37.63609,140.9290017
313033,230,37.63609,140.9290017
313038,228,37.63609,140.9290017
313043,224,37.63609,140.9290017
313048,223,37.63609,140.9290017
313053,215,37.63518,140.9290017
313057,216,37.63518,140.9278533
313062,230,37.63518,140.9278533
313067,238,37.63518,140.9278533
313072,246,37.63518,140.9278533
313077,256,37.63518,140.9278533
313082,262,37.63518,140.9278533
313087,265,37.63518,140.9278533
313092,258,37.63518,140.9290017
313097,250,37.63518,140.9290017
313101,247,37.63518,140.9290017
313106,236,37.63518,140.9290017
313111,236,37.63518,140.9290017
313116,236,37.63609,140.9290017
313121,227,37.63609,140.9290017
313126,225,37.63609,140.9290017
313131,214,37.63609,140.9290017
313136,208,37.63609,140.9290017
313141,205,37.63609,140.9290017
313145,205,37.63609,140.9290017
313150,210,37.63609,140.9290017
313155,220,37.63609,140.9290017
313160,223,37.63609,140.9290017
313165,222,37.63609,140.9290017
313170,226,37.63609,140.9290017
313175,231,37.63609,140.9290017
313180,234,37.63609,140.9290017
313185,233,37.63609,140.9290017
313189,247,37.63609,140.9290017
313194,249,37.63609,140.9290017
313199,251,37.63609,140.9290017
313204,249,37.63518,140.9290017
313209,245,37.63518,140.9290017
313214,245,37.63518,140.9290017
313219,260,37.63518,140.9290017
309292,184,37.63063,140.9427817
302036,250,37.62699,140.9379733
300518,243,37.62426,140.9379733
299104,242,37.61789,140.9379733
299099,243,37.61789,140.9379733
299094,231,37.61789,140.9379733
298918,241,37.62062,140.9368267
298605,281,37.62062,140.93912
297376,187,37.62335,140.94256
297337,237,37.62335,140.9414133
297332,245,37.62335,140.9414133
297327,255,37.62335,140.9414133
297371,199,37.62335,140.94256
297351,231,37.62335,140.9414133
297342,228,37.62335,140.9414133
297346,227,37.62335,140.9414133
297366,208,37.62335,140.94256
297356,225,37.62335,140.9414133
297361,224,37.62335,140.9414133
297925,257,37.61971,140.94256
297596,219,37.62153,140.9414133
297435,202,37.62335,140.94256
297381,178,37.62335,140.94256
297395,178,37.62244,140.94256
297440,215,37.62335,140.94256
297391,181,37.62335,140.94256
297386,174,37.62335,140.94256
297430,203,37.62335,140.94256
297410,177,37.62335,140.94256
297400,180,37.62335,140.94256
297405,181,37.62335,140.94256
297425,196,37.62335,140.94256
297415,185,37.62335,140.94256
297420,189,37.62335,140.94256
297591,226,37.62153,140.9414133
297513,228,37.62244,140.9437067
297474,215,37.62335,140.94256
297454,210,37.62335,140.94256
297444,213,37.62335,140.94256
297449,213,37.62335,140.94256
297469,220,37.62335,140.94256
297459,215,37.62335,140.94256
297464,220,37.62244,140.94256
297508,233,37.62244,140.9437067
297489,195,37.62244,140.94256
297479,207,37.62335,140.94256
297484,205,37.62335,140.94256
297503,218,37.62244,140.9437067
297493,200,37.62244,140.94256
297498,206,37.62244,140.9437067
297587,228,37.62153,140.9414133
297547,266,37.62244,140.94256
297528,240,37.62244,140.9437067
297518,230,37.62244,140.9437067
297523,226,37.62244,140.9437067
297542,264,37.62244,140.94256
297533,255,37.62244,140.94256
297538,256,37.62244,140.94256
297582,237,37.62153,140.9414133
297562,252,37.62244,140.94256
297552,270,37.62244,140.94256
297557,261,37.62244,140.94256
297577,237,37.62153,140.9414133
297567,236,37.62244,140.94256
297572,239,37.62244,140.9414133
297920,247,37.61971,140.94256
297748,209,37.62244,140.9402667
297670,227,37.62244,140.9402667
297631,211,37.62153,140.9402667
297611,204,37.62153,140.9414133
297601,211,37.62153,140.9414133
297606,212,37.62153,140.9414133
297626,208,37.62153,140.9402667
297616,205,37.62153,140.9402667
297621,206,37.62153,140.9402667
297665,222,37.62244,140.9402667
297645,228,37.62244,140.9402667
297635,227,37.62153,140.9402667
297640,231,37.62153,140.9402667
297660,226,37.62244,140.9402667
297650,218,37.62244,140.9402667
297655,220,37.62244,140.9402667
297743,205,37.62244,140.9402667
297704,221,37.62244,140.9402667
297685,230,37.62244,140.9402667
297675,228,37.62244,140.9402667
297680,235,37.62244,140.9402667
297699,213,37.62244,140.9402667
297689,228,37.62244,140.9402667
297694,218,37.62244,140.9402667
297738,197,37.62244,140.9402667
297719,213,37.62244,140.9402667
297709,219,37.62244,140.9402667
297714,216,37.62244,140.9402667
297733,202,37.62244,140.9402667
297724,215,37.62244,140.9402667
297729,210,37.62244,140.9402667
297915,258,37.61971,140.9414133
297836,219,37.62244,140.9402667
297782,213,37.62244,140.9402667
297763,214,37.62244,140.9402667
297753,215,37.62244,140.9402667
297758,218,37.62244,140.9402667
297778,214,37.62244,140.9402667
297768,209,37.62244,140.9402667
297773,219,37.62244,140.9402667
297831,223,37.62244,140.9402667
297797,230,37.62244,140.9402667
297787,215,37.62244,140.9402667
297792,222,37.62244,140.9402667
297827,222,37.62244,140.9402667
297802,223,37.62244,140.9402667
297807,220,37.62244,140.9402667
297910,269,37.62062,140.9414133
297871,242,37.62153,140.9402667
297851,219,37.62244,140.9402667
297841,223,37.62244,140.9402667
297846,224,37.62244,140.9402667
297866,234,37.62244,140.9402667
297856,216,37.62244,140.9402667
297861,227,37.62244,140.9402667
297905,262,37.62062,140.9402667
297885,241,37.62153,140.9402667
297876,238,37.62153,140.9402667
297880,240,37.62153,140.9402667
297900,262,37.62153,140.9402667
297890,246,37.62153,140.9402667
297895,258,37.62153,140.9402667
298600,279,37.62062,140.93912
298287,207,37.6188,140.9448533
298076,239,37.61971,140.9437067
297998,245,37.62062,140.9437067
297959,253,37.61971,140.94256
297939,253,37.61971,140.94256
297929,245,37.61971,140.94256
297934,245,37.61971,140.94256
297954,245,37.61971,140.94256
297944,249,37.61971,140.94256
297949,251,37.61971,140.94256
297993,259,37.62062,140.9437067
297973,264,37.62062,140.9437067
297964,257,37.61971,140.94256
297969,257,37.62062,140.94256
297988,257,37.62062,140.9437067
297978,269,37.62062,140.9437067
297983,255,37.62062,140.9437067
298071,242,37.61971,140.9437067
298032,236,37.61971,140.94256
298013,243,37.62062,140.9437067
298003,246,37.62062,140.9437067
298008,243,37.62062,140.9437067
298027,241,37.61971,140.94256
298017,237,37.62062,140.9437067
298022,241,37.62062,140.94256
298066,232,37.61971,140.94256
298047,238,37.61971,140.94256
298037,229,37.61971,140.94256
298042,231,37.61971,140.94256
298062,244,37.61971,140.94256
298052,236,37.61971,140.94256
298057,241,37.61971,140.94256
298282,222,37.61789,140.9448533
298150,233,37.61971,140.9437067
298111,231,37.62062,140.9437067
298091,233,37.62062,140.9437067
298081,229,37.61971,140.9437067
298086,227,37.62062,140.9437067
298106,233,37.62062,140.9437067
298096,239,37.62062,140.9437067
298101,235,37.62062,140.9437067
298145,233,37.61971,140.9437067
298125,244,37.62062,140.9437067
298115,237,37.62062,140.9437067
298120,237,37.62062,140.9437067
298140,238,37.61971,140.9437067
298130,235,37.61971,140.9437067
298135,231,37.61971,140.9437067
298277,221,37.61789,140.9437067
298238,226,37.6188,140.9437067
298164,225,37.61971,140.9437067
298155,228,37.61971,140.9437067
298159,233,37.61971,140.9437067
298199,231,37.61971,140.9437067
298169,229,37.61971,140.9437067
298184,222,37.61971,140.9437067
298272,231,37.61789,140.9437067
298252,224,37.6188,140.9448533
298243,236,37.6188,140.9448533
298248,233,37.6188,140.9448533
298267,219,37.6188,140.9437067
298257,211,37.6188,140.9448533
298262,210,37.6188,140.9437067
298595,277,37.62062,140.93912
298438,217,37.61698,140.94256
298360,209,37.6188,140.9414133
298321,193,37.61789,140.9448533
298301,188,37.6188,140.9448533
298292,203,37.6188,140.9448533
298297,204,37.6188,140.9448533
298316,196,37.6188,140.9448533
298306,193,37.6188,140.9448533
298311,198,37.6188,140.9448533
298355,204,37.6188,140.9414133
298336,185,37.6188,140.94256
298326,189,37.61789,140.9437067
298331,186,37.6188,140.9437067
298350,200,37.6188,140.9414133
298341,192,37.6188,140.94256
298345,198,37.6188,140.94256
298434,224,37.61698,140.94256
298394,247,37.6188,140.9414133
298375,245,37.6188,140.9414133
298365,219,37.6188,140.9414133
298370,233,37.6188,140.9414133
298390,249,37.6188,140.9414133
298380,252,37.6188,140.9414133
298385,255,37.6188,140.9414133
298429,230,37.61789,140.9414133
298409,254,37.6188,140.9414133
298399,254,37.6188,140.9414133
298404,249,37.6188,140.9414133
298424,244,37.61789,140.9414133
298414,249,37.6188,140.9414133
298419,254,37.61789,140.9414133
298590,260,37.62062,140.93912
298512,226,37.6188,140.93912
298473,202,37.6188,140.9402667
298453,215,37.61698,140.9414133
298443,213,37.61698,140.94256
298448,206,37.61698,140.94256
298468,208,37.6188,140.9402667
298458,201,37.61789,140.9414133
298463,202,37.61789,140.9402667
298507,224,37.6188,140.93912
298487,195,37.6188,140.9402667
298478,197,37.6188,140.9402667
298482,190,37.6188,140.9402667
298502,217,37.6188,140.93912
298492,191,37.6188,140.93912
298497,203,37.6188,140.93912
298585,250,37.62062,140.93912
298546,217,37.61971,140.93912
298526,221,37.61971,140.93912
298517,229,37.61971,140.93912
298522,235,37.61971,140.93912
298541,222,37.61971,140.93912
298531,226,37.61971,140.93912
298536,216,37.61971,140.93912
298580,235,37.62062,140.93912
298561,210,37.62062,140.93912
298551,221,37.61971,140.93912
298556,213,37.61971,140.93912
298575,219,37.62062,140.93912
298566,212,37.62062,140.93912
298570,209,37.62062,140.93912
298913,224,37.62062,140.9368267
298908,217,37.62062,140.9368267
298903,208,37.62062,140.9379733
298742,235,37.61971,140.93912
298663,219,37.61971,140.93912
298624,258,37.62062,140.9402667
298619,269,37.62062,140.9402667
298610,276,37.62062,140.93912
298615,273,37.62062,140.93912
298659,218,37.62062,140.93912
298639,242,37.62062,140.9402667
298629,263,37.62062,140.9402667
298634,259,37.62062,140.9402667
298654,226,37.62062,140.9402667
298644,233,37.62062,140.9402667
298649,232,37.62062,140.9402667
298737,238,37.61971,140.93912
298698,234,37.61971,140.93912
298678,225,37.61971,140.93912
298668,230,37.61971,140.93912
298673,238,37.61971,140.93912
298693,230,37.61971,140.93912
298683,229,37.61971,140.93912
298688,226,37.61971,140.93912
298732,226,37.61971,140.93912
298712,225,37.61971,140.93912
298703,230,37.61971,140.93912
298707,228,37.61971,140.93912
298727,224,37.61971,140.93912
298717,232,37.61971,140.93912
298722,232,37.61971,140.93912
298898,195,37.62062,140.9379733
298810,245,37.61971,140.9379733
298771,245,37.61971,140.93912
298751,235,37.61971,140.93912
298747,239,37.61971,140.93912
298766,237,37.61971,140.93912
298756,235,37.61971,140.93912
298761,238,37.61971,140.93912
298805,249,37.61971,140.93912
298786,270,37.61971,140.93912
298776,258,37.61971,140.93912
298781,266,37.61971,140.93912
298800,261,37.61971,140.93912
298791,269,37.61971,140.93912
298796,262,37.61971,140.93912
298893,195,37.62062,140.9379733
298854,234,37.61971,140.9379733
298825,259,37.61971,140.9379733
298815,247,37.61971,140.9379733
298820,252,37.61971,140.9379733
298840,249,37.61971,140.9379733
298830,257,37.62062,140.9379733
298835,251,37.62062,140.9379733
298888,204,37.62062,140.9379733
298869,245,37.62062,140.9379733
298859,235,37.61971,140.9379733
298864,240,37.62062,140.9379733
298884,218,37.62062,140.9379733
298874,233,37.62062,140.9379733
298879,234,37.62062,140.9379733
300513,235,37.62426,140.9379733
299089,235,37.61789,140.9379733
